y
-0.3
2.2
4.1
5.6
6.8
4.9
3.6
2.9
3.1
1.6
1.3
1.5
1.6
1.3
0.3
2.3
1.8
2.8
3.4
1.9
1.8
2.6
4.2
4.7
-0.4
-20.1
-9.0
